LPI Rank,Rd.Pick,Player,Pos (Rank),Team,Depth,LPI Proj PPG,Season VORP,Mkt ADP,Diff vs ADP,Draft Grade at ADP
165,14.09,Jonah Coleman,RB52,FA,Free Agent,0.0,-127.2,153.0,-12.0,74
166,14.10,Kenyon Sadiq,TE28,FA,Free Agent,0.0,-78.8,153.7,-12.3,72
167,14.11,Chris Rodriguez Jr.,RB53,JAX,RB2,3.2,-76.0,159.3,-7.7,82
168,14.12,Stefon Diggs,WR58,FA,Free Agent,0.0,-129.3,160.3,-7.7,72
169,15.01,Isiah Pacheco,RB54,DET,RB2,4.21,-59.8,161.0,-8.0,84
170,15.02,Jalen Coker,WR59,CAR,WR2,3.97,-70.8,162.0,-8.0,82
171,15.03,David Njoku,TE29,FA,Free Agent,0.0,-78.8,165.3,-5.7,73
172,15.04,Jauan Jennings,WR60,FA,Free Agent,0.0,-129.3,166.0,-6.0,72
173,15.05,De'Zhaun Stribling,WR61,FA,Free Agent,0.0,-129.3,167.5,-5.5,72
174,15.06,Fernando Mendoza,QB30,FA,Free Agent,0.0,-109.6,168.3,-5.7,68
175,15.07,Deebo Samuel Sr.,WR62,FA,Free Agent,0.0,-129.3,169.0,-6.0,72
176,15.08,Theo Johnson,TE30,NYG,TE2,1.32,-63.0,172.0,-4.0,81
177,15.09,Denzel Boston,WR63,FA,Free Agent,0.0,-129.3,169.7,-7.3,72
178,15.10,Dylan Sampson,RB55,CLE,RB2,3.2,-76.0,170.7,-7.3,82
179,15.11,Omar Cooper Jr.,WR64,FA,Free Agent,0.0,-129.3,171.3,-7.7,72
180,15.12,Travis Hunter,WR65,JAX,Reserve,0.27,-125.3,172.3,-7.7,72
181,16.01,Keaton Mitchell,RB56,LAC,Reserve,0.25,-123.2,174.3,-6.7,76
182,16.02,Tyreek Hill,WR66,FA,Free Agent,0.0,-129.3,195.3,13.3,71
183,16.03,Michael Penix Jr.,QB31,ATL,Starter,12.2,-21.7,239.5,56.5,86
184,16.04,Shedeur Sanders,QB32,CLE,Starter,12.15,-22.1,240.5,56.5,86
185,16.05,Jalen McMillan,WR67,TB,Reserve,0.27,-125.3,177.7,-7.3,72
186,16.06,Darnell Washington,TE31,PIT,TE2,1.2,-64.4,242.0,56.0,82
187,16.07,Emmett Johnson,RB57,FA,Free Agent,0.0,-127.2,178.3,-8.7,75
188,16.08,Mike Gesicki,TE32,CIN,Starter,2.94,-43.6,244.0,56.0,86
189,16.09,Kayshon Boutte,WR68,NE,WR2,3.78,-73.6,185.0,-4.0,81
190,16.10,Justice Hill,RB58,BAL,RB2,3.17,-76.5,183.0,-7.0,83
191,16.11,Mike Washington Jr.,RB59,FA,Free Agent,0.0,-127.2,183.0,-8.0,76
192,16.12,Jalen Nailor,WR69,LV,WR2,3.78,-73.6,188.0,-4.0,81
193,17.01,Malik Washington,WR70,MIA,WR2,3.78,-73.6,189.0,-4.0,81
194,17.02,Austin Ekeler,RB60,FA,Free Agent,0.0,-127.2,185.0,-9.0,76
195,17.03,Adonai Mitchell,WR71,NYJ,WR2,3.78,-73.6,209.5,14.5,81
196,17.04,Evan Engram,TE33,DEN,Starter,7.96,16.6,249.0,53.0,99
197,17.05,Jake Tonges,TE34,SF,TE2,1.27,-63.6,251.5,54.5,81
198,17.06,Colby Parkinson,TE35,LAR,Starter,3.08,-41.8,252.5,54.5,86
199,17.07,Terrance Ferguson,TE36,LAR,Reserve,0.22,-76.2,191.3,-7.7,76
200,17.08,Nicholas Singleton,RB61,FA,Free Agent,0.0,-127.2,192.0,-8.0,76
201,17.09,Isaac TeSlaa,WR72,DET,Reserve,0.27,-125.3,192.7,-8.3,72
202,17.10,Antonio Williams,WR73,FA,Free Agent,0.0,-129.3,194.5,-7.5,71
203,17.11,MarShawn Lloyd,RB62,GB,Reserve,0.24,-123.4,196.0,-7.0,77
204,17.12,George Holani,RB63,SEA,Reserve,0.24,-123.4,197.0,-7.0,77
205,18.01,Troy Franklin,WR74,DEN,WR2,3.78,-73.6,262.0,57.0,81
206,18.02,Kirk Cousins,QB33,FA,Free Agent,0.0,-109.6,200.0,-6.0,66
207,18.03,Carson Beck,QB34,FA,Free Agent,0.0,-109.6,201.0,-6.0,66
208,18.04,Cooper Kupp,WR75,SEA,WR2,6.82,-28.9,269.5,61.5,89
209,18.05,Rashod Bateman,WR76,BAL,WR2,6.66,-31.2,270.5,61.5,89
210,18.06,Jahan Dotson,WR77,ATL,WR2,3.78,-73.6,271.0,61.0,81
211,18.07,Sean Tucker,RB64,TB,Reserve,0.24,-123.4,207.5,-3.5,77
212,18.08,Kaelon Black,RB65,FA,Free Agent,0.0,-127.2,208.0,-4.0,76
213,18.09,Mason Taylor,TE37,NYJ,Starter,8.83,27.2,274.0,61.0,99
214,18.10,Kaytron Allen,RB66,FA,Free Agent,0.0,-127.2,211.0,-3.0,76
215,18.11,Devaughn Vele,WR78,NO,WR2,3.78,-73.6,280.0,65.0,81
216,18.12,Ty Johnson,RB67,BUF,RB2,3.17,-76.5,218.0,2.0,83
217,19.01,Tank Dell,WR79,HOU,Reserve,0.27,-125.3,218.5,1.5,72
218,19.02,Kimani Vidal,RB68,LAC,RB2,3.17,-76.5,220.0,2.0,83
219,19.03,Tre' Harris,WR80,LAC,Reserve,0.27,-125.3,220.0,1.0,72
220,19.04,Deshaun Watson,QB35,CLE,Reserve,0.6,-105.3,221.0,1.0,66
221,19.05,Jordan James,RB69,SF,RB2,3.17,-76.5,222.0,1.0,83
222,19.06,Zachariah Branch,WR81,FA,Free Agent,0.0,-129.3,222.0,0.0,71
223,19.07,Jalen Tolbert,WR82,MIA,Reserve,0.27,-125.3,223.0,0.0,72
224,19.08,Eli Stowers,TE38,FA,Free Agent,0.0,-78.8,225.0,1.0,77
225,19.09,Ray Davis,RB70,BUF,Reserve,0.39,-121.0,225.0,0.0,77
226,19.10,Brandon Aiyuk,WR83,SF,Reserve,0.26,-125.4,226.0,0.0,72
227,19.11,Jaylen Wright,RB71,MIA,RB2,3.17,-76.5,231.5,4.5,83
228,19.12,Ja'Kobi Lane,WR84,FA,Free Agent,0.0,-129.3,231.5,3.5,71
229,20.01,Demond Claiborne,RB72,FA,Free Agent,0.0,-127.2,233.0,4.0,76
230,20.02,Malachi Fields,WR85,FA,Free Agent,0.0,-129.3,235.0,5.0,71
231,20.03,Tua Tagovailoa,QB36,ATL,QB2,1.22,-100.8,237.0,6.0,69
232,20.04,Jaylin Noel,WR86,HOU,Reserve,0.27,-125.3,237.0,5.0,72
233,20.05,Jaydon Blue,RB73,DAL,Reserve,0.42,-120.5,239.0,6.0,77
234,20.06,Kendre Miller,RB74,NO,Reserve,0.24,-123.4,240.0,6.0,77
235,20.07,Darnell Mooney,WR87,FA,Free Agent,0.0,-129.3,241.5,6.5,71
236,20.08,Marvin Mims Jr.,WR88,DEN,Reserve,0.27,-125.3,242.0,6.0,72
237,20.09,Brashard Smith,RB75,KC,Reserve,0.24,-123.4,243.0,6.0,77
238,20.10,Emanuel Wilson,RB76,SEA,RB2,3.17,-76.5,244.0,6.0,83
239,20.11,Kyle Williams,WR89,NE,Reserve,0.27,-125.3,246.0,7.0,72
240,20.12,Devin Singletary,RB77,NYG,Reserve,0.24,-123.4,247.0,7.0,77
241,21.01,LeQuint Allen Jr.,RB78,JAX,Reserve,0.24,-123.4,250.0,9.0,77
242,21.02,Ryan Flournoy,WR90,DAL,Reserve,0.27,-125.3,252.5,10.5,72
243,21.03,Kaleb Johnson,RB79,PIT,Reserve,0.45,-120.0,255.0,12.0,77
244,21.04,Tory Horton,WR91,SEA,Reserve,0.27,-125.3,255.0,11.0,72
245,21.05,J.J. McCarthy,QB37,MIN,QB2,1.82,-96.5,255.5,10.5,69
246,21.06,Audric Estime,RB80,NO,Reserve,0.24,-123.4,257.0,11.0,77
247,21.07,Dontayvion Wicks,WR92,GB,Reserve,0.27,-125.3,257.0,10.0,72
