LPI_Rank,LPI_Round_Pick,Player_Name,Position,Pos_Rank,Team,LPI_Predicted_PPG,Pos_Replacement_PPG,Projected_VORP_Per_Game,Projected_Season_VORP,Consensus_ADP_Rank,Consensus_ADP_Round_Pick,LPI_vs_ADP_Diff,Prospective_Grade_at_ADP
41,4.05,Justin Fields,QB,QB11,KC,18.18,15.2152,2.96,47.4,114,10.06,73,74
42,4.06,Rachaad White,RB,RB19,WAS,10.87,7.9497,2.92,46.7,148,13.04,106,94
43,4.07,Chuba Hubbard,RB,RB20,CAR,10.84,7.9497,2.89,46.2,44,4.08,1,60
44,4.08,Caleb Williams,QB,QB12,CHI,18.1,15.2152,2.88,46.1,112,10.04,68,72
45,4.09,Ashton Jeanty,RB,RB21,LV,10.8,7.9497,2.85,45.6,10,1.10,-35,24
46,4.10,A.J. Brown,WR,WR8,NE,11.61,8.7782,2.83,45.3,20,2.08,-26,55
47,4.11,Drake London,WR,WR9,ATL,11.57,8.7782,2.79,44.6,17,2.05,-30,52
48,4.12,Tony Pollard,RB,RB22,TEN,10.74,7.9497,2.79,44.6,57,5.09,9,73
49,5.01,Omarion Hampton,RB,RB23,LAC,10.72,7.9497,2.77,44.3,29,3.05,-20,43
50,5.02,Aaron Jones Sr.,RB,RB24,MIN,10.72,7.9497,2.77,44.3,67,6.07,17,76
51,5.03,Garrett Wilson,WR,WR10,NYJ,11.54,8.7782,2.76,44.2,43,4.07,-8,72
52,5.04,Sam LaPorta,TE,TE6,DET,9.24,6.5682,2.67,42.7,51,5.03,-1,65
53,5.05,Baker Mayfield,QB,QB13,TB,17.88,15.2152,2.66,42.6,68,6.08,15,61
54,5.06,Nico Collins,WR,WR11,HOU,11.42,8.7782,2.64,42.2,12,1.12,-42,43
55,5.07,Najee Harris,RB,RB25,LAC,10.58,7.9497,2.63,42.1,121,11.01,66,93
56,5.08,Quinshon Judkins,RB,RB26,CLE,10.52,7.9497,2.57,41.1,104,9.08,48,84
57,5.09,Mark Andrews,TE,TE7,BAL,9.13,6.5682,2.56,41.0,73,7.01,16,75
58,5.10,Davante Adams,WR,WR12,LAR,11.33,8.7782,2.55,40.8,45,4.09,-13,72
59,5.11,Mike Evans,WR,WR13,SF,11.25,8.7782,2.47,39.5,40,4.04,-19,65
60,5.12,TreVeyon Henderson,RB,RB27,NE,10.41,7.9497,2.46,39.4,46,4.10,-14,59
61,6.01,Tee Higgins,WR,WR14,CIN,11.09,8.7782,2.31,37.0,32,3.08,-29,57
62,6.02,Kaleb Johnson,RB,RB28,PIT,10.24,7.9497,2.29,36.6,75,7.03,13,73
63,6.03,RJ Harvey,RB,RB29,DEN,10.23,7.9497,2.28,36.5,50,5.02,-13,63
64,6.04,Dak Prescott,QB,QB14,DAL,17.46,15.2152,2.24,35.8,88,8.04,24,62
65,6.05,Ladd McConkey,WR,WR15,LAC,11.01,8.7782,2.23,35.7,26,3.02,-39,51
66,6.06,Justin Herbert,QB,QB15,LAC,17.43,15.2152,2.21,35.4,109,10.01,43,67
67,6.07,Hunter Henry,TE,TE8,NE,8.74,6.5682,2.17,34.7,154,13.10,87,85
68,6.08,Jaxon Smith-Njigba,WR,WR16,SEA,10.9,8.7782,2.12,33.9,33,3.09,-35,57
69,6.09,DJ Moore,WR,WR17,BUF,10.9,8.7782,2.12,33.9,53,5.05,-16,71
70,6.10,Tyreek Hill,WR,WR18,,10.87,8.7782,2.09,33.4,31,3.07,-39,52
71,6.11,Travis Etienne Jr.,RB,RB30,NO,10.01,7.9497,2.06,33.0,89,8.05,18,71
72,6.12,Joe Burrow,QB,QB16,CIN,17.27,15.2152,2.05,32.8,36,3.12,-36,52
73,7.01,Jared Goff,QB,QB17,DET,17.17,15.2152,1.95,31.2,102,9.06,29,64
